,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
66,2024-11-04,MSFT,406.0827941894531,408.4599914550781,410.4200134277344,409.79998779296875,19672300.0,0.0,-1.1182651756029713,435.59890023614776,404.55909536932097,45.51758593300489,-131.29645268442155,14.487195516677936,422.0709971110026,420.89749806722006,22.5,3.4465576242038978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2024-11-04,NFLX,755.510009765625,755.510009765625,762.47998046875,753.1400146484375,1902200.0,0.0,13.329541171841583,783.7675762619224,695.7014239822183,59.49125996963504,77.18678707025978,23.74207493300569,730.4840006510417,707.0120005289714,22.5,3.4465576242038978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-11-05,AAPL,222.66729736328125,223.4499969482422,223.9499969482422,221.8000030517578,28111300.0,1.0,-0.6898727180583535,239.23766698623064,220.7723336241209,47.312953751404535,-128.76470806244456,5.314895812618013,228.93600006103514,226.54116719563802,21.979999542236328,0.3478232475543911,2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0
67,2024-11-05,AMZN,199.5,199.5,199.82000732421875,196.0399932861328,30564800.0,1.0,2.673448547314848,197.56003922521532,181.40096388757766,56.97329009973652,210.2430802578272,19.45746329595034,188.61666717529297,184.13366673787434,21.979999542236328,0.3478232475543911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-11-05,CRM,296.2150573730469,297.489990234375,298.80999755859375,297.44000244140625,4456100.0,1.0,5.495495921666759,298.1387831305395,284.7462205315699,61.51875478359399,110.05183231230738,32.33111649209748,286.96433512369794,272.1960009256999,21.979999542236328,0.3478232475543911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-11-05,MSFT,409.0653381347656,411.4599914550781,414.8999938964844,408.3699951171875,17626000.0,1.0,-1.9878804433389519,435.8246621861608,404.0803335413782,45.062724486988245,-105.22904335042921,11.539718068330043,421.2499969482422,420.9193313598633,21.979999542236328,0.3478232475543911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-11-05,NFLX,763.9099731445312,763.9099731445312,767.530029296875,757.3499755859375,2200600.0,1.0,12.977034364881433,783.681513248017,701.1344840664361,60.25466449069419,88.13446310053288,26.41374650737574,732.1746663411458,709.1178334554037,21.979999542236328,0.3478232475543911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-11-06,AAPL,221.93984985351562,222.72000122070312,226.07000732421875,222.61000061035156,54561100.0,2.0,-1.02904780816624,239.45954086306347,220.28846023556935,47.944025778546525,-110.21159654974043,5.314895812618029,228.8586669921875,226.60116729736328,16.059999465942383,2.2194266952459034,2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0
68,2024-11-06,AMZN,207.08999633789062,207.08999633789062,207.5500030517578,200.00999450683594,72292200.0,2.0,3.097938384321992,199.06755158034912,181.6124502507056,59.32286809059376,295.932640472206,27.20230195560896,188.82533365885416,184.6703333536784,16.059999465942383,2.2194266952459034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-11-06,CRM,305.584716796875,306.8999938964844,308.55999755859375,305.0,5874900.0,2.0,6.060337474066614,301.17025990401225,283.13274302567527,64.55286054400949,205.7137893239418,39.17668086390357,288.1160013834635,273.06266759236655,16.059999465942383,2.2194266952459034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-11-06,MSFT,417.7345886230469,420.17999267578125,420.45001220703125,412.4200134277344,26681800.0,2.0,-2.323470654617381,435.91183258337537,403.6491659517809,46.625442523400984,-39.185547607458794,3.5255290660650176,420.66966451009114,420.9664983113607,16.059999465942383,2.2194266952459034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-11-06,NFLX,780.2100219726562,780.2100219726562,781.489990234375,771.5,3690800.0,2.0,13.681744262944562,786.7342797878935,703.3067175265596,62.6988311361251,121.37550932310256,31.248923308745606,733.8579996744792,711.3335001627604,16.059999465942383,2.2194266952459034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-11-07,AAPL,226.6831817626953,227.47999572753906,227.8800048828125,224.6300048828125,42137700.0,3.0,-1.121916295112328,239.54728808875947,219.8857136202249,49.504371015319705,-53.46105987990897,2.1872908493460455,228.76966705322266,226.66883392333983,15.859999656677246,4.4444893862836965,1.0,1.0,1.0,1.0,0.0,1.0,0.0
69,2024-11-07,AMZN,210.0500030517578,210.0500030517578,212.25,207.44000244140625,52878400.0,3.0,3.9879189364805256,202.81057868836004,179.900422898554,63.212219689785755,311.7553811179857,29.920929970283495,189.26300048828125,185.2591667175293,15.859999656677246,4.4444893862836965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-11-07,CRM,309.4481201171875,310.7799987792969,312.19000244140625,307.5,5722600.0,3.0,6.6332436763847795,304.22680307505027,282.0341985118638,65.48385165655415,228.68943146679442,41.69267209611799,289.1616678873698,273.93116760253906,15.859999656677246,4.4444893862836965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-11-07,MSFT,422.9540100097656,425.42999267578125,426.8500061035156,421.2799987792969,19901800.0,3.0,-1.8531397020229292,436.0813935218669,404.08460379258617,49.85358483885237,41.21662070776933,0.9088314870414005,420.20933125813804,421.0744984944661,15.859999656677246,4.4444893862836965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-11-07,NFLX,796.5399780273438,796.5399780273438,798.219970703125,781.3699951171875,3295100.0,3.0,14.86530012675314,791.3213069223558,704.5276921010817,64.28370272542125,147.47237570350387,35.632245489599796,735.7460001627604,713.5446665445963,15.859999656677246,4.4444893862836965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-11-08,AAPL,226.41383361816406,226.9600067138672,228.66000366210938,227.1699981689453,38328800.0,4.0,-0.9792705877562469,239.5057216769602,219.71427954374292,51.3993136234971,-34.607906679487,2.1872908493460392,228.72666676839194,226.71166712443033,15.130000114440918,1.2995019859825105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-11-08,AMZN,208.17999267578125,208.17999267578125,209.9600067138672,209.72000122070312,36075800.0,4.0,4.821631021716939,206.3630376195269,178.65696360117624,64.29592998887836,238.1908419871831,26.15054207823145,189.89766743977864,185.8401667277018,15.130000114440918,1.2995019859825105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-11-08,CRM,320.5702819824219,321.95001220703125,322.80999755859375,310.0299987792969,8485000.0,4.0,7.208332556020878,307.41740733155365,280.9255949877823,66.40750739196744,283.30571501505324,48.087850956029236,290.28733418782554,274.8000010172526,15.130000114440918,1.2995019859825105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-11-08,MSFT,420.08087158203125,422.5400085449219,426.5,425.32000732421875,16891400.0,4.0,-1.1412485053579644,436.5907500396342,404.493246542397,51.24454326967438,48.39103331519196,0.6116161338284276,420.00266520182294,421.166498819987,15.130000114440918,1.2995019859825105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-11-08,NFLX,795.0399780273438,795.0399780273438,799.0599975585938,797.3599853515625,1910600.0,4.0,16.89873713131965,799.2242810400847,702.8707140771027,66.65791175996232,148.70506038091978,35.632245489599796,738.7126668294271,715.6924997965494,15.130000114440918,1.2995019859825105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
